shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts,rounds,error_rate,std_error_rate
5000000,1877,0,44.4,pymatching,2111a1f90e9f2ed781a09569313aa32d3b2e30e39b8b431a90a5b0fd129f3956,"{""rounds"":0}",,0,0.0003754,8.663245059906824e-06
5000000,12993,0,126.3,pymatching,2142d75d82c886bec8be4b5c09dafb3ae1014ac6547075724d9137785a2417a3,"{""rounds"":1}",,1,0.0025986,2.2767728380495056e-05
5000000,36007,0,207.7,pymatching,48976610e8f46cb556b7068d82a6d88fd7a438400648b82ef46f767a4e526448,"{""rounds"":2}",,2,0.0072014,3.7814123916970497e-05
5000000,67274,0,298.5,pymatching,ff354e27b5650e21416bec77286a7588c5a78aab758cd74665a5db7c75a6093a,"{""rounds"":3}",,3,0.0134548,5.152430175550174e-05
5000000,104561,0,440.6,pymatching,631ca4cc700abce8147f0f5df7ed48390ca0b2dbbfc42fb2641b26f8f624c88a,"{""rounds"":4}",,4,0.0209122,6.399199932985372e-05
5000000,145379,0,478.9,pymatching,66b8205befb1593c8b3ca8009530b2d47b4a4f7bd80bdcfb0aee312735d8a03a,"{""rounds"":5}",,5,0.0290758,7.514039905983997e-05
5000000,186498,0,636.0,pymatching,0cd8a0d215e789789f9f7f92b0b3dca8fdbf5676e3e503b516a6180032d1819c,"{""rounds"":6}",,6,0.0372996,8.474472236055766e-05
5000000,229528,0,734.6,pymatching,60ae6a079210069fd5faa04e23544151faf3f7cee1691bf1e05926f9e1e06a11,"{""rounds"":7}",,7,0.0459056,9.359302953600764e-05
5000000,271526,0,789.7,pymatching,8a5e44c22318f1ae5ad39a6c1ed662154f9d568b8f57be05248899af4a13a5f6,"{""rounds"":8}",,8,0.0543052,0.00010134707223492941
5000000,312782,0,900.2,pymatching,85f444733229103881a63e6a87518e7f025ff3a7d0034f21e5673fd86b679fe5,"{""rounds"":9}",,9,0.0625564,0.00010829875051822158
5000000,354827,0,1008.9,pymatching,5897bd1ae05a41cc4a69561245aee9112927e56e82cff83cffc1c815b31cc855,"{""rounds"":10}",,10,0.0709654,0.00011482971044363039
