shots,errors,discards,seconds,decoder,strong_id,json_metadata,custom_counts,rounds,error_rate,std_error_rate
5000000,4656,0,53.4,pymatching,b0900ea4859ca03134465941ffc4a1d79e0b72de4387a5fe4c6023781d0ef6d7,"{""rounds"":1}",,1,0.0009312,1.3640622174666374e-05
5000000,23574,0,165.9,pymatching,5be86820a9a461920fd02c847e5ee03df740df8bbd87527021a1a29bbecce69f,"{""rounds"":2}",,2,0.0047148,3.063517801795837e-05
5000000,55607,0,291.6,pymatching,36a296690297d83c53294e462a0ab8779660e9605a3d6a0745618b8b85ff59c4,"{""rounds"":3}",,3,0.0111214,4.6899284561792627e-05
5000000,95158,0,469.6,pymatching,1dec5a1b431709df611edd2833241c76b9c43f04291a9b16e0ebe59a935cba03,"{""rounds"":4}",,4,0.0190316,6.11054796257095e-05
5000000,137964,0,485.0,pymatching,b90595dd76d84cb5f8797afb18e30f5bd99ce74a4ff6db8936dcf874eb0abbde,"{""rounds"":5}",,5,0.0275928,7.325494848562792e-05
5000000,183789,0,637.7,pymatching,59098b35404aea42108e098885fcc674cdb721238f027b0ce2ea211637b38ce3,"{""rounds"":6}",,6,0.0367578,8.415065554012042e-05
5000000,227960,0,879.4,pymatching,2e5135240508f61ba7d482b2dae9f7d4af91fa09b457a571997669bba850589f,"{""rounds"":7}",,7,0.045592,9.32881230768419e-05
5000000,274424,0,1020.0,pymatching,ded5fb2bb4ab844e27672f7ca963358787a070b56073c00a95f087420684bb21,"{""rounds"":8}",,8,0.0548848,0.00010185524898497868
5000000,317763,0,1139.4,pymatching,2d18ac9d2dbc01074a1bb0f775c1e1b7547b8492923092875f0f3754d9c368b7,"{""rounds"":9}",,9,0.0635526,0.00010909964897582393
5000000,362584,0,1268.0,pymatching,9c6e10a34380d39519e489bd617393988ccb2aa13acc4b93ded2369459039192,"{""rounds"":10}",,10,0.0725168,0.00011598113098065564
5000000,405788,0,1312.9,pymatching,3d8e3e56d28bfd98edc094131767c3e05437d5f8cc9cafcf48b1318e1e445e2b,"{""rounds"":11}",,11,0.0811576,0.000122123743770194
5000000,447445,0,1607.4,pymatching,28acab7291302f4b760362f21d945e4697e5f13038e627d04d18e286d140ec89,"{""rounds"":12}",,12,0.089489,0.0001276563503152115
5000000,488633,0,1274.7,pymatching,808e5c9c865d198be1703396a412113b2ad7a8a4064af07d9a98b37124d032c5,"{""rounds"":13}",,13,0.0977266,0.0001327976744167156
5000000,531437,0,1486.8,pymatching,a23c73b00a884d7c6c0ca4306c007ae51016f61442fc003f30a0ff7b3b818a25,"{""rounds"":14}",,14,0.1062874,0.0001378335145029974
5000000,568867,0,1761.8,pymatching,3f49061be2d9291c7489235b7efe33bc040eefb9feb8b8921166f9602a0d7ce2,"{""rounds"":15}",,15,0.1137734,0.00014200634735985572
5000000,608508,0,2044.4,pymatching,5a120eb0a966a1bba9c1b0737b2673a77d729b7f7d021dbe86b44ee4b6775ee4,"{""rounds"":16}",,16,0.1217016,0.0001462123938368017
5000000,646403,0,1936.7,pymatching,c5a46ae3e7560ae575bee81afc523134eaadbd4baa75cfd734ddbe775abceb8a,"{""rounds"":17}",,17,0.1292806,0.0001500447443022514
5000000,684718,0,1971.9,pymatching,7ce21b05077ecbdf970800c3ed7e2edef27a0b8a18b899bf885fcc30101ded58,"{""rounds"":18}",,18,0.1369436,0.00015374657747022533
5000000,721316,0,1823.0,pymatching,42711e10ebd505cfc1fa8bd5d243204c8ee58d34a42d0bf81297203fe1fc06eb,"{""rounds"":19}",,19,0.1442632,0.00015713136486759097
